l,m,n,Parity,Re/Im,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
2,-2,0,Even,Im,-0.004226247639626237,-0.01772312566177962,-0.05530930127671228,-0.11015828027809155,-0.13296889908663662,-0.09793424653693768,-0.044122788439945784,-0.011832732942167084,-0.0017299272600333562,-0.00010589434124444903
2,-2,0,Odd,Re,0.010009756679835089,0.04511360969799153,0.19443159979430286,0.43663652251631596,0.5545508143726812,0.4189817351143426,0.1915444934190475,0.05184460504804952,0.007627208058909237,0.0004689734292638994
2,-2,0,Odd,Im,0.0005172531238240331,0.04260719126535862,0.1636433152530043,0.35555423623064053,0.4461987159207586,0.33529554729867694,0.15284185932390054,0.04129684754603264,0.006068502071126053,0.00037283647874020967
2,-2,1,Even,Re,0.00561581642683247,-0.029464377988189235,-0.12996337952708079,-0.3025378268989079,-0.4148849231956648,-0.3466764270546969,-0.17771356892091592,-0.054414915971371436,-0.009115298653998828,-0.0006416502614471089
2,-2,1,Even,Im,-0.0012538294693013557,-0.0009564690459725303,0.04060684865441763,0.13460510225906622,0.20837697585509707,0.18386079016639936,0.09701112357445725,0.030219943947498478,0.005119158254882378,0.0003631429447336065
2,-2,1,Odd,Re,0.0019470364855581903,0.07876370344807807,0.424261076057129,1.0829688402808948,1.557436418751223,1.336687126474709,0.6965446033842958,0.21559265033351355,0.036387372090993894,0.002575445206207085
2,-2,1,Odd,Im,-0.002238522252831144,0.004091087484063152,-0.03707541633586535,-0.13225243145035567,-0.20868206455471347,-0.18572615742474513,-0.09846575330266145,-0.030764012941044624,-0.0052215719892024,-0.00037091723039978547
2,-1,0,Even,Re,0.010708775337224816,0.011238746424163122,0.05279534330399539,0.11847404869136463,0.15030473428634056,0.11359747080366417,0.05196899084279402,0.014075747166423427,0.0020719538522939035,0.00012745634274492204
2,-1,0,Even,Im,-0.004323940527894187,-0.008455450448859278,-0.02428583473220346,-0.04991550146040588,-0.0613567742095328,-0.04557957829362903,-0.020628363528140677,-0.005547144815007667,-0.0008124491934321094,-4.979613800449092e-05
2,-1,0,Odd,Re,0.010522319889828009,0.022643424830466916,0.09669030701537089,0.21613489415035755,0.27404093229654686,0.206938000167574,0.09459481740765292,0.025604527069036518,0.003767156397908961,0.00023165110867370457
2,-1,0,Odd,Im,0.0009141785833323881,0.020592873085331,0.07984204611257316,0.17395812616397988,0.21884928412326696,0.1647546614750695,0.07519622244881967,0.020334961649099186,0.002989985909107584,0.00018377818147834085
2,-1,1,Even,Re,0.010708775337224816,0.011238746424163122,0.05279534330399539,0.11847404869136463,0.15030473428634056,0.11359747080366417,0.05196899084279402,0.014075747166423427,0.0020719538522939035,0.00012745634274492204
2,-1,1,Even,Im,-0.004323940527894187,-0.008455450448859278,-0.02428583473220346,-0.04991550146040588,-0.0613567742095328,-0.04557957829362903,-0.020628363528140677,-0.005547144815007667,-0.0008124491934321094,-4.979613800449092e-05
2,-1,1,Odd,Re,0.010522319889828009,0.022643424830466916,0.09669030701537089,0.21613489415035755,0.27404093229654686,0.206938000167574,0.09459481740765292,0.025604527069036518,0.003767156397908961,0.00023165110867370457
2,-1,1,Odd,Im,0.0009141785833323881,0.020592873085331,0.07984204611257316,0.17395812616397988,0.21884928412326696,0.1647546614750695,0.07519622244881967,0.020334961649099186,0.002989985909107584,0.00018377818147834085
